,cup,spoon,plate,cup_plate,cup_spoon,plate_spoon,overall
table_01,0,0,0,0,0,0,0
table_02,0,0,0,0,0,0,0
table_03,0,0,0,0,0,0,0
table_04,0,0,0,0,0,0,0
table_05,0,0,0,0,0,0,0
table_06,0,0,0,0,0,0,0
table_07,0,0,0,0,0,0,0
table_08,0,0,0,0,0,0,0
table_09,0,0,0,0,0,0,0
table_10,0,0,0,0,0,0,0
table_11,0,0,0,0,0,0,0
table_12,0,0,0,0,0,0,0
table_13,0,0,0,0,0,0,0
table_14,0,0,0,0,0,0,0
table_15,0,0,0,0,0,0,0
table_16,0,0,0,0,0,0,0
table_17,0,0,0,0,0,0,0
table_18,0,0,0,0,0,0,0
table_19,0,0,0,0,0,0,0
table_20,0,0,0,0,0,0,0
table_21,0,0,0,0,0,0,0
table_22,0,0,0,0,0,0,0
table_23,0,0,0,0,0,0,0
table_24,0,0,0,0,0,0,0
table_25,0,0,0,0,0,0,0
table_26,0,0,0,0,0,0,0
table_27,0,0,0,0,0,0,0
table_28,0,0,0,0,0,0,0
table_29,0,0,0,0,0,0,0
table_30,0,0,0,0,0,0,0
table_31,0,0,0,0,0,0,0
table_32,0,0,0,0,0,0,0
table_33,0,0,0,0,0,0,0
table_34,0,0,0,0,0,0,0
table_35,0,0,0,0,0,0,0
table_36,0,0,0,0,0,0,0
table_37,0,0,0,0,0,0,0
table_38,0,0,0,0,0,0,0
table_39,0,0,0,0,0,0,0
table_40,0,0,0,0,0,0,0
table_41,0,0,0,0,0,0,0
table_42,0,0,0,0,0,0,0
table_43,0,0,0,0,0,0,0
table_44,0,0,0,0,0,0,0
table_45,0,0,0,0,0,0,0
table_46,0,0,0,0,0,0,0
table_47,0,0,0,0,0,0,0
table_48,0,0,0,0,0,0,0
table_49,0,0,0,0,0,0,0
table_50,0,0,0,0,0,0,0
table_51,0,0,0,0,0,0,0
table_52,0,0,0,0,0,0,0
table_53,0,0,0,0,0,0,0
table_54,0,0,0,0,0,0,0
table_55,0,0,0,0,0,0,0
table_56,0,0,0,0,0,0,0
table_57,0,0,0,0,0,0,0
table_58,0,0,0,0,0,0,0
table_59,0,0,0,0,0,0,0
table_60,0,0,0,0,0,0,0
table_61,0,0,0,0,0,0,0
table_62,0,0,0,0,0,0,0
table_63,0,0,0,0,0,0,0
table_64,0,0,0,0,0,0,0
table_65,0,0,0,0,0,0,0
table_66,0,0,0,0,0,0,0
table_67,0,0,0,0,0,0,0
table_68,0,0,0,0,0,0,0
table_69,0,0,0,0,0,0,0
table_70,0,0,0,0,0,0,0
table_71,0,0,0,0,0,0,0
table_72,0,0,0,0,0,0,0
table_73,0,0,0,0,0,0,0
table_74,0,0,0,0,0,0,0
table_75,0,0,0,0,0,0,0
table_76,0,0,0,0,0,0,0
table_77,0,0,0,0,0,0,0
table_78,0,0,0,0,0,0,0
table_79,0,0,0,0,0,0,0
table_80,0,0,0,0,0,0,0
table_81,0,0,0,0,0,0,0
table_82,0,0,0,0,0,0,0
table_83,0,0,0,0,0,0,0
table_84,0,0,0,0,0,0,0
table_85,0,0,0,0,0,0,0
table_86,0,0,0,0,0,0,0
table_87,0,0,0,0,0,0,0
table_88,0,0,0,0,0,0,0
table_89,0,0,0,0,0,0,0
table_90,0,0,0,0,0,0,0
table_91,0,0,0,0,0,0,0
table_92,0,0,0,0,0,0,0
table_93,0,0,0,0,0,0,0
table_94,0,0,0,0,0,0,0
table_95,0,0,0,0,0,0,0
table_96,0,0,0,0,0,0,0
table_97,0,0,0,0,0,0,0
table_98,0,0,0,0,0,0,0
table_99,0,0,0,0,0,0,0
table_100,0,0,0,0,0,0,0
table_101,1,0,0,1,1,0,1
table_102,1,0,0,1,1,0,1
table_103,1,0,0,1,1,0,1
table_104,0,0,1,1,0,1,1
table_105,0,0,1,1,0,1,1
table_106,0,0,1,1,0,1,1
table_107,0,1,0,0,1,1,1
table_108,0,1,0,0,1,1,1
table_109,0,1,0,0,1,1,1
table_110,1,1,1,1,1,1,1
table_111,1,0,0,1,1,0,1
table_112,1,0,0,1,1,0,1
table_113,1,0,0,1,1,0,1
table_114,0,0,1,1,0,1,1
table_115,0,0,1,1,0,1,1
table_116,0,0,1,1,0,1,1
table_117,0,1,0,0,1,1,1
table_118,0,1,0,0,1,1,1
table_119,0,1,0,0,1,1,1
table_120,1,1,1,1,1,1,1
table_121,1,1,1,1,1,1,1
table_122,1,1,1,1,1,1,1
table_123,1,1,1,1,1,1,1
table_124,1,1,1,1,1,1,1
table_125,1,1,1,1,1,1,1
table_126,1,1,1,0,0,0,1
table_127,1,1,1,0,0,0,1
table_128,1,1,1,1,1,0,1
table_129,1,1,1,1,1,0,1
table_130,1,1,1,0,1,1,1
table_131,1,0,0,1,1,0,1
table_132,0,0,1,1,0,1,1
table_133,0,1,0,0,1,1,1
table_134,1,0,0,1,1,0,1
table_135,0,0,1,1,0,1,1
table_136,1,0,0,1,1,0,1
table_137,0,0,1,1,0,1,1
table_138,0,1,0,0,1,1,1
table_139,1,0,0,1,1,0,1
table_140,0,0,1,1,0,1,1
table_141,0,0,0,0,0,0,0
table_142,0,0,0,0,0,0,0
table_143,0,0,0,0,0,0,0
table_144,0,0,0,0,0,0,0
table_145,0,0,0,0,0,0,0
table_146,0,0,0,0,0,0,0
table_147,0,0,0,0,0,0,0
table_148,0,0,0,0,0,0,0
table_149,0,0,0,0,0,0,0
table_150,0,0,0,0,0,0,0